data,valor
01.06.2022,"1.818,07"
31.05.2022,"1.941,79"
30.05.2022,"1.998,46"
29.05.2022,"1.813,56"
28.05.2022,"1.792,68"
27.05.2022,"1.724,30"
26.05.2022,"1.793,42"
25.05.2022,"1.942,91"
24.05.2022,"1.979,35"
23.05.2022,"1.972,93"
22.05.2022,"2.043,19"
21.05.2022,"1.975,12"
20.05.2022,"1.959,85"
19.05.2022,"2.019,34"
18.05.2022,"1.912,12"
17.05.2022,"2.091,14"
16.05.2022,"2.022,93"
15.05.2022,"2.145,86"
14.05.2022,"2.056,30"
13.05.2022,"2.009,53"
12.05.2022,"1.955,36"
11.05.2022,"2.080,79"
10.05.2022,"2.342,30"
09.05.2022,"2.229,10"
08.05.2022,"2.519,98"
07.05.2022,"2.636,03"
06.05.2022,"2.692,88"
05.05.2022,"2.747,46"
04.05.2022,"2.940,70"
03.05.2022,"2.781,47"
02.05.2022,"2.856,01"
01.05.2022,"2.825,80"
30.04.2022,"2.727,18"
29.04.2022,"2.816,66"
28.04.2022,"2.937,01"
27.04.2022,"2.888,99"
26.04.2022,"2.810,42"
25.04.2022,"3.006,04"
24.04.2022,"2.922,03"
23.04.2022,"2.931,90"
22.04.2022,"2.963,00"
21.04.2022,"2.983,95"
20.04.2022,"3.076,38"
19.04.2022,"3.102,01"
18.04.2022,"3.055,64"
17.04.2022,"2.989,05"
16.04.2022,"3.058,96"
15.04.2022,"3.042,01"
14.04.2022,"3.021,93"
13.04.2022,"3.116,92"
12.04.2022,"3.027,25"
11.04.2022,"2.978,29"
10.04.2022,"3.201,84"
09.04.2022,"3.259,35"
08.04.2022,"3.193,93"
07.04.2022,"3.228,84"
06.04.2022,"3.169,58"
05.04.2022,"3.406,78"
04.04.2022,"3.520,41"
03.04.2022,"3.521,10"
02.04.2022,"3.442,34"
01.04.2022,"3.456,18"
31.03.2022,"3.282,35"
30.03.2022,"3.385,64"
29.03.2022,"3.401,89"
28.03.2022,"3.329,38"
27.03.2022,"3.297,04"
26.03.2022,"3.146,01"
25.03.2022,"3.103,51"
24.03.2022,"3.109,25"
23.03.2022,"3.036,12"
22.03.2022,"2.969,64"
21.03.2022,"2.891,63"
20.03.2022,"2.861,69"
19.03.2022,"2.949,92"
18.03.2022,"2.939,76"
17.03.2022,"2.812,29"
16.03.2022,"2.773,94"
15.03.2022,"2.617,43"
14.03.2022,"2.589,30"
13.03.2022,"2.516,75"
12.03.2022,"2.569,80"
11.03.2022,"2.556,96"
10.03.2022,"2.606,50"
09.03.2022,"2.726,94"
08.03.2022,"2.577,21"
07.03.2022,"2.492,53"
06.03.2022,"2.549,40"
